numero_contrato;numero_controle_pncp;empresa_contratada;cnpj_contratada;objeto;orgao_contratante;municipio;uf;modalidade;link_pncp
29;45511847000179-2-000027/2025;HMBF ENGENHARIA E CONSTRUÇÕES LTDA;05.955.259/0001-00;Contratação de empresa para execução de obras e serviços destinados a reforma predial da EMEB Maria de Freitas Souza;MUNICIPIO DE ARACATUBA;Araçatuba;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/45511847000179/2025/27
2309;60509015000101-2-001794/2025;D.O.M CONSTRUCOES E SERVICOS LTDA;00.971.575/0001-51;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – REFORMA DO PRÉDIO ESCOLAR;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1794
661;46374500000194-2-019625/2025;CAMALEAO ENGENHARIA LTDA;41.569.982/0001-14;SERVIÇOS COMUNS DE MANUTENÇÃO, CONSERVAÇÃO E REPARAÇÃO, ABRANGENDO A EXECUÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DOS EQUIPAMENTOS PRODUTIVOS, EQUIPAMENTOS DAS ÁREAS DE APOIO À PRODUÇÃO, E INFRAESTRUTURA DE ACOMPANHAMENTO DOS PROCESSOS PRODUTIVOS;SECRETARIA DE ESTADO DA SAUDE;Guarulhos;SP;Pregão - Eletrônico;https://pncp.gov.br/contratos/46374500000194/2025/19625
108;49269236000117-2-000088/2025;GESTOR ENGENHARIA LTDA;01.846.687/0001-43;CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ELABORAÇÃO DE PROJETO EXECUTIVO E EXECUÇÃO DE OBRAS DE DRENAGEM E PAVIMENTAÇÃO EM RUAS DE TERRA, CONFORME ESPECIFICAÇÕES TÉCNICAS DESCRITAS NO ANEXO III;SECRETARIA MUNICIPAL DAS SUBPREFEITURAS;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/49269236000117/2025/88
1914;60509015000101-2-001378/2025;V G ACOS COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA;02.842.637/0001-50;Serviços Especializados de Obras e Serviços de Arquitetura e Engenharia – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES,;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1378
1837;60509015000101-2-001324/2025;MECSOL ENGENHARIA LTDA;29.055.024/0001-20;SERVIÇOS ESPECIALIZADOS DE OBRAS E SERVIÇOS DE ARQUITETURA E ENGENHARIA – AMPLIAÇÃO DE SALAS DE AULA E SERVIÇOS COMPLEMENTARES;FUNDACAO PARA O DESENVOLVIMENTO DA EDUCACAO;São Paulo;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/60509015000101/2025/1324
58;45511847000179-2-000053/2025;HMBF ENGENHARIA E CONSTRUÇÕES LTDA;05.955.259/0001-00;Contratação de empresa para execução de obras e serviços destinados à construção de uma unidade básica de saúde porte 3 - Bairro Concórdia I;MUNICIPIO DE ARACATUBA;Araçatuba;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/45511847000179/2025/53
C005;13880703000101-2-000327/2025;JL FIGUEIREDO CONSTRUTORA CIVIL LTDA;32.052.695/0001-41;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA EXECUÇÃO DE OBRAS DE ENGENHARIA PARA A CONSTRUÇÃO DE QUADRAS POLIESPORTIVAS,INCLUINDO FOENECIMENTO DE MATERIAIS ,MÃO DE OBRA,EQUIPAMENTOS E SERVIÇOS NECESSARIOS.;MUNICIPIO DE BARRA;Barra;BA;Concorrência - Eletrônica;https://pncp.gov.br/contratos/13880703000101/2025/327
418/SMI/2025;82892282000143-2-000031/2025;BRITAGEM VOGELSANGER LTDA;84.689.066/0003-92;Contratação de empresa especializada para execução de obras/serviços de engenharia de implantação da Avenida Internacional, no bairro Ingleses.;MUNICIPIO DE FLORIANOPOLIS;Florianópolis;SC;Concorrência - Eletrônica;https://pncp.gov.br/contratos/82892282000143/2025/31
20;44435121000131-2-000018/2026;TORRE FORTE ARACATUBA CONSTRUTORA LTDA;09.526.242/0001-98;OBRAS E SERVIÇOS DE ENGENHARIA;MUNICIPIO DE BURITAMA;Buritama;SP;Concorrência - Eletrônica;https://pncp.gov.br/contratos/44435121000131/2026/18
